Word,Definition,Part of Speech,Synonyms,Antonyms
some,An unspecified amount or number of,"pronoun, adjective","several, a few",none
somebody,An unspecified person,pronoun,"anyone, someone",none
somehow,In some way; by some means,adverb,"in some way, by any means",none
someone,An unknown or unspecified person,pronoun,"somebody, anyone",none
something,A thing that is unspecified or unknown,"pronoun, noun","anything, object",nothing
sometimes,"Occasionally, rather than all of the time",adverb,"occasionally, at times","always, never"
somewhat,To a moderate extent or by a moderate amount,adverb,"slightly, moderately","completely, entirely"
somewhere,In or at or to some place; some place,adverb,"anywhere, in some place",nowhere
son,A boy or man in relation to either or both of his parents,"noun, verb","boy, offspring",daughter
song,A short poem or other set of words set to music or meant to be sung,"noun, verb","melody, tune",none
soon,In or after a short time,adverb,"shortly, presently","later, eventually"
sore,Suffering pain from a part of one's body,"adjective, noun","painful, aching","comfortable, painless"
sorry,"Feeling distress, especially through sympathy with someone else's misfortune","adjective, verb","apologetic, regretful","unapologetic, indifferent"
sort,A category of things or people having some common feature; a type,"noun, verb","type, kind",none
sort out,Organize or arrange something that is mixed up or untidy,phrasal verb,"organize, arrange","mix up, confuse"
soul,"The spiritual or immaterial part of a human being or animal, regarded as immortal","noun, adjective","spirit, essence","body, flesh"
sound,Vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear,"noun, verb","noise, tone","silence, quiet"
soup,"A liquid dish, typically made by boiling meat, fish, or vegetables, etc., in stock or water","noun, verb","broth, chowder",none
source,"A place, person, or thing from which something comes or can be obtained","noun, verb","origin, basis","end, result"
south,"The direction toward the point of the horizon 90° clockwise from east, or the point on the horizon itself","noun, adjective",none,north
southern,Situated in the south or directed toward or facing the south,"adjective, noun",southward,northern
space,"A continuous area or expanse which is free, available, or unoccupied","noun, verb","area, room",none
spare,Additional to what is required for ordinary use,"adjective, noun","extra, backup","necessary, needed"
speak,"Say something in order to convey information, an opinion, or a feeling","verb, noun","talk, converse","listen, silence"
speaker,A person who speaks,"noun, verb","orator, lecturer","audience, listener"
special,"Better, greater, or otherwise different from what is usual","adjective, noun","unique, particular","ordinary, common"
species,A group of living organisms consisting of similar individuals capable of exchanging genes or interbreeding,"noun, verb","group, type",individual
specific,Clearly defined or identified,"adjective, noun","definite, particular","general, vague"
speech,The expression of or the ability to express thoughts and feelings by articulate sounds,"noun, verb","address, talk","silence, muteness"
speed,The rate at which someone or something moves or operates,"noun, verb","velocity, pace","slowness, sluggishness"
spell,Write or name the letters that form (a word) in correct sequence,"verb, noun","write, letter",none
spend,"Give (money) to pay for goods, services, or so as to benefit someone or something","verb, noun","expend, disburse","save, conserve"
spice,An aromatic or pungent vegetable substance used to flavor food,"noun, verb","seasoning, flavor",none
spicy,Flavored with or fragrant with spice,"adjective, noun","hot, seasoned","bland, mild"
spider,An eight-legged predatory arachnid with an unsegmented body consisting of a fused thorax and abdomen,"noun, verb",arachnid,none
spin,Turn or cause to turn or whirl around quickly,"verb, noun","twirl, rotate","stop, still"
spirit,The non-physical part of a person which is the seat of emotions and character; the soul,"noun, adjective","soul, essence","body, flesh"
spiritual,Relating to or affecting the human spirit or soul as opposed to material or physical things,"adjective, noun","religious, ethereal","material, physical"
spite,"A desire to hurt, annoy, or offend someone","noun, verb","malice, bitterness","kindness, goodwill"
split,"Break or cause to break forcibly into parts, especially into halves or along the grain","verb, noun","divide, separate","join, unite"
split up,End a relationship,phrasal verb,"break up, separate",stay together
spoil,Diminish or destroy the value or quality of,"verb, noun","ruin, damage","improve, enhance"
spoken,Past participle of speak,"adjective, verb","uttered, verbal",written
spoon,An implement consisting of a small shallow bowl (as of wood or plastic) with a handle used especially in eating and cooking,"noun, verb",none,none
sport,An activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment,"noun, verb","athletics, game",none
spot,"A small round or roundish mark, differing in color or texture from the surface around it","noun, verb","mark, dot",none
spread,"Open out (something) so as to extend its surface area, width, or length","verb, noun","unfold, extend","fold, compress"
spring,"The season after winter and before summer, in which vegetation begins to appear, in the northern hemisphere from March to May and in the southern hemisphere from September to November","noun, verb","season, time of year","autumn, fall"
square,A plane figure with four equal straight sides and four right angles,"noun, adjective","quadrilateral, four-sided",none
squeeze,Firmly press (something soft or yielding) typically with one's fingers,"verb, noun","press, compress","release, loosen"
stable,Not likely to change or fail; firmly established,"adjective, noun","steady, firm","unstable, unsteady"
staff,All the people employed by a particular organization,"noun, verb","personnel, workforce",none
stage,"A point, period, or step in a process or development","noun, verb","phase, step",none
stair,A set of steps leading from one floor of a building to another,noun,"steps, staircase",none
stamp,"A small adhesive piece of paper stuck to something to show that an amount of money has been paid, in particular a postage stamp","noun, verb","seal, sticker",none
stand,"Have or maintain an upright position, supported by one's feet","verb, noun","upright, position","sit, lie"
standard,A level of quality or attainment,"noun, adjective","criterion, benchmark","substandard, inferior"
star,"A fixed luminous point in the night sky which is a large, remote incandescent body like the sun","noun, verb","celestial body, sun",none
start,Begin or set out on a journey or activity,"verb, noun","begin, commence","finish, end"
start off,Begin one's life or a career,phrasal verb,"begin, commence",none
start out,Begin a journey or project,phrasal verb,"embark, commence",none
start up,Begin operating or functioning,phrasal verb,"activate, launch",none
state,The particular condition that someone or something is in at a specific time,"noun, verb","condition, situation",none
statement,A definite or clear expression of something in speech or writing,"noun, verb","declaration, remark","question, inquiry"
station,A regular stopping place on a public transportation route,"noun, verb","stop, terminal",none
statue,"A carved or cast figure of a person or animal, especially one that is life-size or larger","noun, verb","sculpture, effigy",none
status,"The relative social, professional, or other standing of someone or something","noun, verb","standing, rank",none
stay,Remain in the same place,"verb, noun","remain, continue","leave, depart"
steadily,In a regular and even manner,adverb,"regularly, consistently","irregularly, sporadically"
steady,"Firmly fixed, supported, or balanced; not shaking or moving","adjective, noun","stable, firm","unsteady, wobbly"
steal,Take (another person's property) without permission or legal right and without intending to return it,"verb, noun","rob, take","return, give"
steam,"The vapor into which water is converted when heated, forming a white mist of minute water droplets in the air","noun, verb","vapor, mist",condensation
steel,"A hard, strong gray or bluish-gray alloy of iron with carbon and usually other elements, used as a structural and fabricating material","noun, verb",none,none
steep,Rising or falling sharply; nearly perpendicular,"adjective, noun","sheer, abrupt","gentle, gradual"
steer,"Guide or control the movement of (a vehicle, vessel, or aircraft)","verb, noun","navigate, guide","misguide, wander"
step,"A flat surface, especially one in a series, on which to place one's foot when moving from one level to another","noun, verb","stride, stage",none
stick,A thin piece of wood that has fallen or been cut from a tree,"noun, verb","twig, branch","log, trunk"
stiff,Not easily bent or changed in shape; rigid,"adjective, noun","rigid, inflexible","flexible, pliable"
still,Not moving or making a sound,"adjective, adverb","motionless, quiet","moving, noisy"
sting,Wound or pierce with a sting,"verb, noun","prick, bite","soothe, comfort"
stir,Move a spoon or other implement around in (a liquid or other substance) in order to mix it thoroughly,"verb, noun","mix, blend",none
stock,The goods or merchandise kept on the premises of a business or warehouse and available for sale or distribution,"noun, verb","inventory, supply","depletion, lack"
stomach,The internal organ in which the major part of the digestion of food occurs,"noun, verb","abdomen, belly",none
stone,"A hard, solid nonmetallic mineral matter of which rock is made","noun, verb","rock, pebble",none
stop,Cease movement or operation,"verb, noun","halt, cease","start, go"
store,A retail establishment selling items to the public,"noun, verb","shop, market",none
storm,"A violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow","noun, verb","tempest, gale","calm, tranquility"
story,An account of imaginary or real people and events told for entertainment,"noun, verb","tale, narrative","fact, reality"
straight,Extending or moving uniformly in one direction only; without a curve or bend,"adjective, adverb","direct, linear","crooked, curved"
strain,Force (a part of one's body or oneself) to make a strenuous or unusually great effort,"verb, noun","exert, force","relax, ease"
strange,Unusual or surprising in a way that is unsettling or hard to understand,"adjective, noun","unusual, odd","normal, familiar"
strangely,In a way that is unusual or surprising,adverb,"oddly, unusually","normally, typically"
stranger,A person whom one does not know or with whom one is not familiar,"noun, adjective","foreigner, outsider","friend, acquaintance"
strategy,A plan of action designed to achieve a long-term or overall aim,"noun, verb","plan, tactic",none
stream,"A small, narrow river","noun, verb","brook, creek",none
street,"A public road in a city or town, typically with houses and buildings on one or both sides","noun, verb","road, avenue",none
strength,The quality or state of being physically strong,"noun, verb","power, vigor","weakness, frailty"
stress,A state of mental or emotional strain or tension resulting from adverse or demanding circumstances,"noun, verb","tension, pressure","relaxation, calm"
stretch,(of something soft or elastic) be made or be capable of being made longer or wider without tearing or breaking,"verb, noun","extend, lengthen","shrink, shorten"
strict,Demanding that rules concerning behavior are obeyed and observed,"adjective, noun","rigid, severe","lenient, flexible"
strictly,In a way that involves rigid enforcement or that demands obedience,adverb,"rigorously, sternly","loosely, leniently"
strike,Hit forcibly and deliberately with one's hand or a weapon or other implement,"verb, noun","hit, knock","caress, tap"
striking,"Attracting attention by reason of being unusual, extreme, or prominent","adjective, noun","noticeable, dramatic","ordinary, plain"
string,"Material consisting of threads of cotton, hemp, or other material twisted together to form a thin length","noun, verb","cord, thread",none
strip,Remove all coverings from,"verb, noun","peel, remove","cover, wrap"
stripe,"A long, narrow band or strip, typically one of several, running parallel to each other","noun, verb","band, line","block, spot"
stroke,An act of hitting or striking someone or something; a blow,"noun, verb","blow, hit","caress, stroke"
strong,Having the power to move heavy weights or perform other physically demanding tasks,"adjective, noun","powerful, sturdy","weak, feeble"
strongly,In a way that shows determination or intensity,adverb,"forcefully, firmly","weakly, mildly"
structure,The arrangement of and relations between the parts or elements of something complex,"noun, verb","framework, organization","disorganization, chaos"
struggle,Make forceful or violent efforts to get free of restraint or constriction,"verb, noun","fight, battle","surrender, give up"
student,A person who is studying at a school or college,"noun, verb","learner, pupil","teacher, instructor"
studio,"A room where an artist, photographer, sculptor, etc., works","noun, verb","workshop, atelier",none
study,The devotion of time and attention to acquiring knowledge on an academic subject,"noun, verb","learn, research","neglect, ignore"
stuff,"Matter, material, articles, or activities of a specified or indeterminate kind that are being referred to, indicated, or implied","noun, verb","things, belongings",none
stupid,Lacking intelligence or common sense,"adjective, noun","foolish, unintelligent","intelligent, smart"
style,A manner of doing something,"noun, verb","manner, mode","disorganization, chaos"
subject,"A person or thing that is being discussed, described, or dealt with","noun, verb","topic, theme","object, unrelated"
submit,Accept or yield to a superior force or to the authority or will of another person,"verb, noun","yield, surrender","resist, defy"
subsequent,Coming after something in time; following,"adjective, noun","following, ensuing","preceding, previous"
subsequently,After a particular thing has happened; afterward,adverb,"afterward, later","previously, before"
substance,A particular kind of matter with uniform properties,"noun, verb","material, matter",none
substantial,"Of considerable importance, size, or worth","adjective, noun","considerable, significant","insignificant, trivial"
substantially,To a great or significant extent,adverb,"greatly, significantly","slightly, marginally"
substitute,A person or thing acting or serving in place of another,"verb, noun","replacement, alternate","original, primary"
success,The accomplishment of an aim or purpose,"noun, verb","achievement, accomplishment","failure, defeat"
successful,Accomplishing an aim or purpose,"adjective, noun","achieving, triumphant","unsuccessful, failed"
successfully,In a way that accomplishes the desired aim or result,adverb,"effectively, efficiently","unsuccessfully, ineffectively"
such,Of the type previously mentioned,"determiner, adjective","so, that","different, another"
sudden,Occurring or done quickly and unexpectedly or without warning,"adjective, noun","unexpected, abrupt","gradual, expected"
suddenly,Quickly and unexpectedly,adverb,"unexpectedly, abruptly","gradually, expectedly"
suffer,Experience or be subjected to (something bad or unpleasant),"verb, noun","endure, undergo","enjoy, relish"
suffering,"The state of undergoing pain, distress, or hardship","noun, verb","pain, distress","pleasure, joy"
sufficient,Enough; adequate,"adjective, noun","adequate, enough","insufficient, inadequate"
sufficiently,To an adequate degree; enough,adverb,"adequately, enough","insufficiently, inadequately"
sugar,A sweet crystalline substance obtained from various plants,"noun, verb",sweetener,none
suggest,Put forward for consideration,"verb, noun","propose, recommend",none
suggestion,An idea or plan put forward for consideration,"noun, verb","proposal, recommendation",none
suit,"A set of clothes made of the same fabric and designed to be worn together, typically consisting of a jacket and trousers or a jacket and skirt","noun, verb","outfit, attire","mismatch, clash"
suitable,"Right or appropriate for a particular person, purpose, or situation","adjective, verb","appropriate, fitting","unsuitable, inappropriate"
suitcase,"A case with a handle and a hinged lid, used for carrying clothes and other personal possessions","noun, verb","luggage, bag",none
suited,"Right or appropriate for a particular person, purpose, or situation","adjective, verb","appropriate, fitting","unsuited, inappropriate"
sum,"The total amount resulting from the addition of two or more numbers, amounts, or items","noun, verb","total, aggregate","part, fraction"
summary,A brief statement or account of the main points of something,"noun, verb","overview, synopsis","detail, elaboration"
summer,"The warmest season of the year, in the northern hemisphere from June to August and in the southern hemisphere from December to February","noun, verb",warm season,winter
sun,The star around which the earth orbits,"noun, verb","star, sunlight",none
Sunday,The day of the week before Monday and following Saturday,noun,none,none
superior,"Higher in rank, status, or quality","adjective, noun","better, higher","inferior, lower"
supply,Make (something needed or wanted) available to someone; provide,"verb, noun","provide, furnish","withdraw, take"
support,Bear all or part of the weight of; hold up,"verb, noun","uphold, back","oppose, undermine"
supporter,"A person who approves of and encourages a public figure, political party, policy, etc.","noun, verb","advocate, backer","opponent, detractor"
suppose,Assume that something is the case on the basis of evidence or probability but without proof or certain knowledge,"verb, noun","assume, presume","know, prove"
sure,Confident in what one thinks or knows; having no doubt that one is right,"adjective, verb","certain, confident","unsure, doubtful"
surely,Used to emphasize the speaker's firm belief that what they are saying is true and often their surprise that there is any doubt of this,adverb,"certainly, definitely",doubtfully
surface,The outside part or uppermost layer of something,"noun, verb","exterior, face","interior, inside"
surround,Be all around (someone or something),"verb, noun","enclose, encircle","release, free"
surrounding,All around a particular place or thing,"adjective, noun","encompassing, encompassing",none
survey,Investigate the opinions or experience of (a group of people) by asking them questions,"noun, verb","poll, study",none
survive,"Continue to live or exist, especially in spite of danger or hardship","verb, noun","endure, persist","perish, succumb"
suspect,"Have an idea or impression of the existence, presence, or truth of (something) without certain proof","verb, noun","doubt, suppose","trust, believe"
suspicion,"A feeling or thought that something is possible, likely, or true","noun, verb","mistrust, doubt","certainty, confidence"
suspicious,Having or showing a cautious distrust of someone or something,"adjective, noun","distrustful, wary","trusting, gullible"
swallow,"Cause or allow (something, especially food or drink) to pass down the throat","verb, noun","ingest, gulp","spit, expel"
swear,Make a solemn statement or promise undertaking to do something or affirming that something is the case,"verb, noun","vow, promise","deny, break"
sweat,"Moisture exuded through the pores of the skin, typically in profuse quantities as a reaction to heat, physical exertion, fever, or fear","noun, verb","perspiration, moisture",dryness
sweep,Clean (an area) by brushing away dirt or litter,"verb, noun","brush, clear","scatter, dirty"
sweet,"Having the pleasant taste characteristic of sugar or honey; not salty, sour, or bitter","adjective, noun","sugary, sugary","bitter, sour"
swim,Propel the body through water by using the limbs,"verb, noun","dive, float","sink, drown"
swing,Move or cause to move back and forth or from side to side while suspended or on an axis,"verb, noun","sway, rock",none
switch,"Change the position, direction, or focus of","verb, noun","change, shift","keep, retain"
switch off,Turn off a device by operating a switch,phrasal verb,"turn off, deactivate","turn on, activate"
swollen,Abnormally expanded or increased in size,"adjective, verb","inflamed, bloated","shrunken, deflated"
symbol,"A thing that represents or stands for something else, especially a material object representing something abstract","noun, verb","emblem, icon",none
sympathetic,"Feeling, showing, or expressing sympathy","adjective, noun","compassionate, understanding","unsympathetic, indifferent"
sympathy,Feelings of pity and sorrow for someone else's misfortune,"noun, verb","compassion, condolence","indifference, apathy"
system,A set of connected things or parts forming a complex whole,"noun, verb","network, framework","disorder, chaos"
table,"A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed","noun, verb","desk, stand",none
tablet,"A small, flat, rectangular computer that is controlled by touching the screen","noun, verb","pad, device",none
tackle,Make determined efforts to deal with (a problem or difficult task),"verb, noun","address, confront","neglect, avoid"
tail,"The hindmost part of an animal, especially when prolonged beyond the rest of the body","noun, verb","rear, appendage","head, front"
take,Lay hold of (something) with one's hands; reach for and hold,"verb, noun","grab, seize","give, release"
take away,Remove (someone or something) from a place,phrasal verb,"remove, withdraw","bring, return"
take back,"Regain possession of (something) given, lent, or lost",phrasal verb,"retrieve, reclaim","give away, donate"
take down,Lower or reduce,phrasal verb,"demolish, dismantle","build, construct"
take in,Absorb or understand information,phrasal verb,"comprehend, grasp","ignore, misunderstand"
take off,Remove or leave the ground,phrasal verb,"depart, lift off","land, touch down"
take on,Undertake or accept (a responsibility or task),phrasal verb,"accept, assume","refuse, decline"
take over,Assume control of something,phrasal verb,"control, dominate","relinquish, surrender"
talent,Natural aptitude or skill,"noun, verb","ability, skill","incompetence, ineptitude"
talk,Speak in order to give information or express ideas or feelings; conversation,"verb, noun","speak, converse","silence, quiet"
tall,Of great or more than average height,"adjective, noun","high, towering","short, low"
tank,"A large receptacle or storage chamber, especially for liquid or gas","noun, verb","reservoir, container",none
tap,A device by which a flow of liquid or gas from a pipe or container can be controlled,"noun, verb","faucet, spigot",none
target,An object of a person's ambition or effort; a goal,"noun, verb","goal, aim",none
task,A piece of work to be done or undertaken,"noun, verb","job, duty",none
taste,The sensation of flavor perceived in the mouth and throat on contact with a substance,"noun, verb","flavor, savor",none
tax,A compulsory contribution to state revenue,"noun, verb","levy, duty",none
tea,"A hot drink made by infusing the dried, crushed leaves of the tea plant in boiling water","noun, verb","brew, infusion",coffee
teach,Show or explain to (someone) how to do something,"verb, noun","educate, instruct","learn, absorb"
teacher,"A person who teaches, especially in a school","noun, verb","instructor, educator","student, learner"
teaching,"The occupation, profession, or work of a teacher","noun, verb","instruction, education",learning
team,A group of players forming one side in a competitive game or sport,"noun, verb","group, squad","individual, solo"
tear,Pull or rip (something) apart or to pieces with force,"verb, noun","rip, shred","mend, repair"
tear up,Rip (something) into pieces,phrasal verb,"shred, rip up",none
technical,"Relating to a particular subject, art, or craft, or its techniques","adjective, noun","scientific, specialized","non-technical, simple"
technique,"A way of carrying out a particular task, especially the execution or performance of an artistic work or a scientific procedure","noun, verb","method, skill",none
technology,"The application of scientific knowledge for practical purposes, especially in industry","noun, verb","innovation, machinery",none
telephone,"A system for transmitting voices over a distance using wire or radio, by converting acoustic vibrations to electrical signals","noun, verb","phone, handset",none
television,"A system for transmitting visual images and sound that are reproduced on screens, chiefly used to broadcast programs for entertainment, information, and education","noun, verb","TV, screen",none
tell,Communicate information to someone in spoken or written words,"verb, noun","inform, communicate","listen, receive"
temperature,The degree or intensity of heat present in a substance or object,"noun, verb","heat, warmth","cold, coolness"
temporarily,For a limited period of time; not permanently,adverb,"briefly, transiently","permanently, indefinitely"
temporary,Lasting for only a limited period of time; not permanent,"adjective, noun","short-term, interim","permanent, lasting"
tend,Regularly or frequently behave in a particular way or have a certain characteristic,"verb, noun","incline, lean","neglect, disregard"
tendency,An inclination towards a particular characteristic or type of behavior,"noun, verb","propensity, inclination",none
tense,Stretched tight or rigid,"adjective, noun","taut, tight","relaxed, loose"
tension,The state of being stretched tight,"noun, verb","strain, stress","relaxation, ease"
tent,"A portable shelter made of cloth, supported by one or more poles and stretched tight by cords attached to pegs driven into the ground","noun, verb","canopy, shelter",none
term,"A word or phrase used to describe a thing or to express a concept, especially in a particular kind of language or branch of study","noun, verb","expression, phrase",none
terrible,Extremely bad or serious,"adjective, noun","horrible, dreadful","wonderful, excellent"
terribly,Very; extremely,adverb,"awfully, extremely",wonderfully
test,"A procedure intended to establish the quality, performance, or reliability of something, especially before it is taken into widespread use","noun, verb","exam, trial",none
text,"A book or other written or printed work, regarded in terms of its content rather than its physical form","noun, verb","document, script",none
than,Used to introduce the second element in a comparison,"conjunction, preposition",none,none
thank,Express gratitude to (someone),"verb, noun","acknowledge, appreciate",none
thanks,An expression of gratitude,"noun, verb","gratitude, appreciation",none
that,Used to identify a specific person or thing observed by the speaker,"pronoun, conjunction","this, it",none
the,Denoting one or more people or things already mentioned or assumed to be common knowledge,definite article,none,none
theatre,A building or outdoor area in which plays and other dramatic performances are given,"noun, verb","playhouse, stage",none
their,Belonging to or associated with the people or things previously mentioned or easily identified,determiner,none,none
theirs,Used to refer to a thing or things belonging to or associated with a person or persons previously mentioned,pronoun,none,none
them,Used as the object of a verb or preposition to refer to two or more people or things previously mentioned or easily identified,pronoun,none,none
theme,"The subject of a talk, piece of writing, exhibition, etc.; a topic","noun, verb","topic, subject",none
themselves,Used to emphasize that the subject and object of a verb are the same people,pronoun,none,none
then,At that time; at the time in question,adverb,"at that time, in those days",now
theory,A supposition or a system of ideas intended to explain something,"noun, verb","hypothesis, concept","fact, reality"
there,"In, at, or to that place or position","adverb, pronoun","here, in that place","here, in this place"
therefore,For that reason; consequently,"adverb, conjunction","thus, hence","because, since"
these,Used to identify a specific person or thing observed or heard by the speaker,"pronoun, adjective","those, these ones",none
they,Used to refer to two or more people or things previously mentioned or easily identified,pronoun,those people,none
thick,With opposite sides or surfaces that are a great or relatively great distance apart,"adjective, noun","dense, bulky","thin, narrow"
thickness,"The distance through an object, as distinct from width or height","noun, verb","depth, width",thinness
thief,A person who steals another person's property,"noun, verb","robber, burglar",none
thin,With opposite sides or surfaces that are close together,"adjective, verb","slim, lean","fat, thick"
thing,"An object that one need not, cannot, or does not wish to give a specific name to","noun, verb","object, item",none
think,"Have a particular opinion, belief, or idea about someone or something","verb, noun","believe, consider","doubt, disbelieve"
thinking,The process of considering or reasoning about something,"noun, adjective","reasoning, thought process",none
third,Constituting number three in a sequence; 3rd,"adjective, noun","3rd, tertiary","first, second"
thirsty,Feeling a need to drink something,"adjective, noun","parched, dry","hydrated, quenched"
thirteen,"The number equivalent to the sum of ten and three; one more than twelve, or seven less than twenty","noun, adjective",number 13,none
thirtieth,Constituting number thirty in a sequence; 30th,"adjective, noun",number 30,none
thirty,The number equivalent to the product of three and ten; ten less than forty,"noun, adjective",number 30,none
this,Used to identify a specific person or thing close at hand or being indicated or experienced,"pronoun, determiner","this one, this here",that
thorough,Complete with regard to every detail; not superficial or partial,"adjective, noun","comprehensive, detailed","partial, superficial"
thoroughly,In a thorough manner; comprehensively,adverb,"completely, utterly","partially, incompletely"
though,Despite the fact that; although,conjunction,"although, even though",none
thought,An idea or opinion produced by thinking or occurring suddenly in the mind,"noun, verb","idea, notion",none
thousand,The number equivalent to the product of a hundred and ten; 10 × 100,"noun, adjective",number 1000,none
thread,"A long, thin strand of cotton, nylon, or other fibers used in sewing or weaving","noun, verb","fiber, strand",none
threat,"A statement of an intention to inflict pain, injury, damage, or other hostile action on someone in retribution for something done or not done","noun, verb","menace, warning","promise, assurance"
threaten,State one's intention to take hostile action against someone in retribution for something done or not done,"verb, noun","intimidate, bully","comfort, reassure"
threatening,Having a hostile or deliberately frightening quality or manner,"adjective, noun","menacing, intimidating","comforting, reassuring"
three,"The number equivalent to the sum of one and two; one more than two, or seven less than ten; 3","noun, adjective",number 3,none
throat,The passage which leads from the back of the mouth of a person or animal,"noun, verb","gullet, windpipe",none
through,"Moving in one side and out of the other side of (an opening, channel, or location)","preposition, adverb","across, past","around, past"
throughout,In every part of (a place or object),"preposition, adverb","everywhere, all over",nowhere
throw,Propel (something) with force through the air by a movement of the arm and hand,"verb, noun","toss, hurl","catch, keep"
throw away,Discard something as useless or unwanted,phrasal verb,"discard, dispose of","keep, retain"
thumb,"The short, thick first digit of the human hand, set lower and apart from the other four and opposable to them","noun, verb","digit, appendage",none
Thursday,The day of the week before Friday and following Wednesday,noun,none,none
thus,As a result or consequence of this; therefore,adverb,"therefore, hence","because, since"
ticket,"A slip or piece of paper, cardboard, or plastic, serving as evidence that the holder has paid a fare or admission or is entitled to some service, right, or the like","noun, verb","pass, stub",none
tidy,Arranged neatly and in order,"adjective, verb","neat, orderly","untidy, messy"
tie,Attach or fasten with string or similar cord,"verb, noun","bind, fasten","untie, unfasten"
tie up,To bind or fasten someone or something securely,phrasal verb,"bind, secure","untie, release"
tight,"Fixed, fastened, or closed firmly; hard to move, undo, or open","adjective, verb","secure, fast","loose, slack"
tightly,In a firm or secure manner,adverb,"securely, firmly","loosely, slackly"
till,Up to (the point in time or the event mentioned); until,"preposition, conjunction",until,since
time,"The indefinite continued progress of existence and events in the past, present, and future regarded as a whole","noun, verb","duration, period",none
timetable,A schedule showing the times at which particular events will take place,"noun, verb","schedule, agenda",none
tin,"A silvery-white metal, the chemical element of atomic number 50","noun, verb","metal, container",none
tiny,Very small,"adjective, noun","small, little","large, big"
tip,The pointed or rounded end or extremity of something slender or tapering,"noun, verb","point, end","base, bottom"
tip over,Cause to overturn from an upright or normal position,phrasal verb,"overturn, topple","upright, steady"
tire,Feel or cause to feel in need of rest or sleep,"verb, noun","weary, exhaust","energize, refresh"
tired,In need of sleep or rest; weary,"adjective, verb","weary, exhausted","energetic, rested"
tiring,Demanding or exhausting to do,"adjective, noun","exhausting, draining","refreshing, easy"
title,"The name of a book, composition, or other artistic work","noun, verb","heading, caption",none
to,Expressing motion in the direction of (a particular location),"preposition, infinitive marker","toward, until","from, away"
today,On or in the course of this present day,"adverb, noun","now, this day",yesterday
toe,Any of the five digits at the end of the human foot,"noun, verb",digit,none
together,With or in proximity to another person or people,"adverb, preposition","jointly, in concert","separately, apart"
toilet,"A fixed receptacle into which a person may urinate or defecate, typically consisting of a large bowl with a seat, connected to a system for flushing away the waste into a sewer","noun, verb","lavatory, restroom",none
tomato,"A glossy red, or occasionally yellow, pulpy edible fruit that is typically eaten as a vegetable or in salad","noun, verb","fruit, veggie",none
tomorrow,On the day after today,"noun, adverb","next day, following day",yesterday
ton,"A unit of weight equal to 2,000 pounds (907.18 kg)","noun, verb","weight, mass",none
tone,"The general character or attitude of a place, piece of writing, situation, etc.","noun, verb","manner, mood",none
tongue,"The fleshy muscular organ in the mouth used for tasting, licking, swallowing, and (in humans) articulating speech","noun, verb","speech organ, language",none
tonight,On the present or approaching evening or night,"noun, adverb","this evening, this night","this morning, this afternoon"
tonne,"A metric unit of mass equal to 1,000 kilograms (approximately 2,204.62 pounds)","noun, verb",metric ton,none
too,"To a higher degree than is desirable, permissible, or possible; excessively",adverb,"excessively, overly","little, less"
tool,"A device or implement, especially one held in the hand, used to carry out a particular function","noun, verb","instrument, implement",none
tooth,"Each of a set of hard, bony enamel-coated structures in the jaws of most vertebrates, used for biting and chewing","noun, verb",none,none
top,"The highest or uppermost point, part, or surface of something","noun, verb","peak, summit","bottom, base"
topic,"A matter dealt with in a text, discourse, or conversation; a subject","noun, verb","subject, theme",none
total,Comprising the whole number or amount,"adjective, noun","whole, aggregate","partial, partial amount"
totally,Completely; absolutely,adverb,"completely, absolutely",partially
touch,Come into or be in contact with,"verb, noun","feel, contact",none
tough,Strong enough to withstand adverse conditions or rough handling,"adjective, noun","strong, resilient","weak, fragile"
tour,A journey for pleasure in which several different places are visited,"noun, verb","trip, journey",none
tourist,A person who is traveling or visiting a place for pleasure,"noun, adjective","traveler, visitor","resident, local"
towards,In the direction of,"preposition, adverb",in the direction of,away from
towel,A piece of thick absorbent cloth or paper used for drying oneself or wiping things dry,"noun, verb","drying cloth, wipe",none
tower,"A tall, narrow building, either free-standing or forming part of a building such as a church or castle","noun, verb","spire, steeple",none
town,"A large urban area that has a name, defined boundaries, and local government","noun, verb","city, municipality",none
toy,"An object for a child to play with, typically a model or miniature replica of something","noun, verb","plaything, doll",none
trace,Find or discover by investigation,"verb, noun","follow, investigate","ignore, neglect"
track,"A rough path or minor road, typically one beaten by use rather than constructed","noun, verb","path, trail",none
trade,The action of buying and selling goods and services,"noun, verb","commerce, exchange",none
trading,"The activity of buying and selling, especially on a large scale","noun, verb","business, commerce",none
traditional,Existing in or as part of a tradition; long-established,adjective,"conventional, customary","modern, contemporary"
traditionally,As part of a tradition; according to tradition,adverb,"typically, usually",none
traffic,Vehicles moving on a road or public highway,"noun, verb","congestion, vehicles",none
train,A series of railroad cars moved as a unit by a locomotive or by integral motors,"noun, verb","locomotive, railway",none
training,The action of teaching a person or animal a particular skill or type of behavior,"noun, verb","instruction, preparation","neglect, ignorance"
transfer,Move from one place to another,"verb, noun","move, relocate","retain, keep"
transform,"Make a thorough or dramatic change in the form, appearance, or character of","verb, noun","change, convert","preserve, maintain"
